the_geom,Address,Suffix,Street,OnStr,OnStrProper,FromStr,toStr,Side,Site,SPP,DBH,WIRES,PITTYPE,WARD,longitude,latitude
POINT (-71.40121109283201 41.82293024292511),80,,POWER ST,POWER ST,Power St,THAYER ST,BROWN ST,Front,1,Tilia cordata,36.2,No,Lawn Strip,2,-71.40121109,41.82293024
POINT (-71.4005351208794 41.825561964269966),124,Y,GEORGE ST,GEORGE ST,George St,THAYER ST,PROSPECT ST,Front,1,Platanus x acerifolia,8,No,Sidewalk Pit,2,-71.40053512,41.82556196
POINT (-71.39486070561624 41.82922007978869),70,,STIMSON AVE,STIMSON AVE,Stimson Ave,ANGELL ST,DIMAN PL,Front,1,Acer platanoides,19,No,Sidewalk Pit,2,-71.39486071,41.82922008
POINT (-71.39569353151558 41.82910016304991),300,,ANGELL ST,DIMAN PL,Diman Pl,ANGELL ST,STIMSON AVE,Side,2,Juglans nigra,8.2,No,Sidewalk Pit,2,-71.39569353,41.82910016
POINT (-71.40200234450327 41.822891266160745),66,,POWER ST,POWER ST,Power St,THAYER ST,BROWN ST,Front,4,Quercus robur,5.8,No,Sidewalk Pit,2,-71.40200234,41.82289127
POINT (-71.39950562108123 41.8256619546723),156,,GEORGE ST,GEORGE ST,George St,BROOK ST,THAYER ST,Front,5,Zelkova serrata,7.2,No,Sidewalk Pit,1,-71.39950562,41.82566195
POINT (-71.40019088295968 41.82916967033526),241,Y,MEETING ST,MEETING ST,Meeting St,THAYER ST,BROOK ST,Front,1,Acer rubrum,2.7,No,Sidewalk Pit,2,-71.40019088,41.82916967
POINT (-71.40262796974345 41.82464119868959),22,Y,BROWN ST,BROWN ST,Brown St,CHARLESFIELD ST,GEORGE ST,Front,2,Platanus x acerifolia,20.5,No,Sidewalk Pit,2,-71.40262797,41.8246412
POINT (-71.40428756025663 41.8289011758664),143,,MEETING ST,MEETING ST,Meeting St,PROSPECT ST,BROWN ST,Front,1,Acer rubrum,16.3,Yes,Sidewalk Pit,2,-71.40428756,41.82890118
POINT (-71.40699041277797 41.826167384802055),236,,BENEFIT ST,BENEFIT ST,Benefit St,WATERMAN ST,COLLEGE ST,Front,2,Platanus x acerifolia,7.9,No,Sidewalk Pit,2,-71.40699041,41.82616738
POINT (-71.40263333413148 41.82482808185306),125,Y,GEORGE ST,BROWN ST,Brown St,CHARLESFIELD ST,GEORGE ST,Side,2,Platanus x acerifolia,18.5,No,Sidewalk Pit,2,-71.40263333,41.82482808
POINT (-71.40542043714427 41.83055955906237),91,,PROSPECT ST,BOWEN ST,Bowen St,PROSPECT ST,BROWN ST,Side,1,Pyrus calleryana,12.3,Yes,Lawn Strip,2,-71.40542044,41.83055956
POINT (-71.3926639940444 41.83084832455241),37,,ARLINGTON AVE,HUMBOLDT AVE,Humboldt Ave,ARLINGTON AVE,TABER AVE,Side,1,Acer saccharum,28,Yes,Lawn Strip,2,-71.39266399,41.83084832
POINT (-71.39583696848507 41.82675128696697),61,,COOKE ST,MANNING ST,Manning St,COOKE ST,MANNING ST,Side,3,Pyrus calleryana,7,No,Lawn Strip,1,-71.39583697,41.82675129
POINT (-71.40492377073296 41.82460537720655),2,,BENEVOLENT ST,BENEVOLENT ST,Benevolent St,BROWN ST,MAGEE ST,Front,1,Ulmus americana,10.7,No,Sidewalk Pit,2,-71.40492377,41.82460538
POINT (-71.40575393102641 41.82611887975973),54,,COLLEGE ST,COLLEGE ST,College St,PROSPECT ST,BENEFIT ST,Front,1,Ulmus americana,4,No,Sidewalk Pit,2,-71.40575393,41.82611888
POINT (-71.39993576702386 41.82398862117974),111,,THAYER ST,CHARLESFIELD ST,Charlesfield St,BROOK ST,THAYER ST,Side,5,Tilia cordata,8.6,No,Sidewalk Pit,1,-71.39993577,41.82398862
POINT (-71.4077347257799 41.82715223948308),29,,WATERMAN ST,WATERMAN ST,Waterman St,S MAIN ST,BENEFIT ST,Front,1,Gleditsia triacanthos,2,No,Sidewalk Pit,2,-71.40773473,41.82715224
POINT (-71.4042054292481 41.823232735596584),52,,POWER ST,BENEFIT ST,Benefit St,POWER ST,CHARLESFIELD ST,Side,3,Platanus x acerifolia,18,No,Lawn Strip,2,-71.40420543,41.82323274
POINT (-71.39864033238786 41.82562086265687),173,,GEORGE ST,GEORGE ST,George St,HOPE ST,BROOK ST,Front,2,Acer pseudoplatanus,13,No,Sidewalk Pit,1,-71.39864033,41.82562086
POINT (-71.40210132885343 41.8280184039821),130,,ANGELL ST,ANGELL ST,Angell St,THAYER ST,BROWN ST,Front,1,Platanus x acerifolia,4.2,No,Sidewalk Pit,2,-71.40210133,41.8280184
POINT (-71.39994066473098 41.82739923116226),110,,WATERMAN ST,WATERMAN ST,Waterman St,BROOK ST,THAYER ST,Front,1,Gleditsia triacanthos,18,No,Sidewalk Pit,1,-71.39994066,41.82739923
POINT (-71.40446942012066 41.82557354263022),1,,PROSPECT ST,PROSPECT ST,Prospect St,GEORGE ST,COLLEGE ST,Front,2,Acer platanoides,25,No,Sidewalk Pit,2,-71.40446942,41.82557354
POINT (-71.40177140364716 41.82382376186572),37,,CHARLESFIELD ST,CHARLESFIELD ST,Charlesfield St,THAYER ST,BROWN ST,Front,2,Platanus x acerifolia,13.3,No,Sidewalk Pit,2,-71.4017714,41.82382376
POINT (-71.40027229336266 41.828193160673926),184,,ANGELL ST,ANGELL ST,Angell St,BROOK ST,THAYER ST,Front,1,Zelkova serrata,2.4,No,Sidewalk Pit,2,-71.40027229,41.82819316
POINT (-71.3967650520844 41.82765405441185),193,,HOPE ST,HOPE ST,Hope St,COOKE ST,HOPE ST,Side,1,Pyrus calleryana,3.5,No,Sidewalk Pit,1,-71.39676505,41.82765405
POINT (-71.39274023924266 41.830660081778284),20,Y,ARLINGTON AVE,ARLINGTON AVE,Arlington Ave,HUMBOLDT AVE,VILLA AVE,Front,3,Acer rubrum,6.5,No,Lawn - No Sidewalk,2,-71.39274024,41.83066008
POINT (-71.39857811101301 41.83190392621397),235,,LLOYD AVE,LLOYD AVE,Lloyd Ave,HOPE ST,ARLINGTON AVE,Front,2,Pyrus calleryana,4.1,Yes,Lawn Strip,2,-71.39857811,41.83190393
POINT (-71.39235131893439 41.82981668158551),6,Y,ARLINGTON AVE,ARLINGTON AVE,Arlington Ave,VILLA AVE,ANGELL ST,Front,3,Acer rubrum,7.9,No,Lawn - No Sidewalk,2,-71.39235132,41.82981668
POINT (-71.39835168175661 41.82563799507),171,yes,GEORGE ST,GEORGE ST,George St,HOPE ST,GEORGE ST,Front,1,Quercus coccinea,3,No,Lawn Strip,1,-71.39835168,41.825638
POINT (-71.39969131427475 41.82304591723939),104,Y,POWER ST,POWER ST,Power St,HOPE ST,THAYER ST,Front,3,Tilia cordata,9,No,Sidewalk Pit,1,-71.39969131,41.82304592
POINT (-71.40143612752217 41.82374980700517),38,,CHARLESFIELD ST,CHARLESFIELD ST,Charlesfield St,THAYER ST,BROWN ST,Front,1,Malus spp,13,Yes,Lawn Strip,2,-71.40143613,41.82374981
POINT (-71.40126045632753 41.82283969767768),81,,POWER ST,POWER ST,Power St,BENEFIT ST,BROOK ST,Front,2,Pyrus calleryana,2.5,Yes,Lawn Strip,1,-71.40126046,41.8228397
POINT (-71.39814780453266 41.82925973095949),216,,HOPE ST,HOPE ST,Hope St,MEETING ST,ANGELL ST,Front,1,Ulmus 'Patriot',11.8,No,Sidewalk Pit,2,-71.3981478,41.82925973
POINT (-71.39773474434423 41.82869612068349),216,,HOPE ST,HOPE ST,Hope St,MEETING ST,ANGELL ST,Front,4,Ulmus 'Patriot',11.7,No,Sidewalk Pit,2,-71.39773474,41.82869612
POINT (-71.39941532758228 41.82840001983742),216,,HOPE ST,BROOK ST,Brook St,ANGELL ST,MEETING ST,Rear,1,Fraxinus pennsylvanica,18.8,No,Sidewalk Pit,2,-71.39941533,41.82840002
POINT (-71.40057137522794 41.827931468117875),227,,THAYER ST,THAYER ST,Thayer St,FONES ALY,ANGELL ST,Front,1,Quercus palustris,6,No,Sidewalk Pit,1,-71.40057138,41.82793147
POINT (-71.40127141622006 41.82909154417629),215,,MEETING ST,MEETING ST,Meeting St,BROWN ST,THAYER ST,Front,1,Zelkova serrata,2.3,No,Sidewalk Pit,2,-71.40127142,41.82909154
POINT (-71.40340085912068 41.82954435351141),99,Y,BROWN ST,BROWN ST,Brown St,MEETING ST,CUSHING ST,Front,2,Acer rubrum,4.4,No,Sidewalk Pit,2,-71.40340086,41.82954435
POINT (-71.39754484387761 41.827959636865124),130,,WATERMAN ST,FONES ALY,Fones Aly,HOPE ST,BROOK ST,Rear,3,Pinus strobus,15,No,Lawn - No Sidewalk,1,-71.39754484,41.82795964
POINT (-71.40387015312326 41.82525048973826),59,,GEORGE ST,GEORGE ST,George St,MAGEE ST,BROWN ST,Front,2,Gleditsia triacanthos,4,No,Sidewalk Pit,2,-71.40387015,41.82525049
POINT (-71.39754559684138 41.82959082095377),8,,STIMSON AVE,STIMSON AVE,Stimson Ave,DIMAN PL,HOPE ST,Front,3,Gleditsia triacanthos,11.6,No,Lawn Strip,2,-71.3975456,41.82959082
POINT (-71.40382406503748 41.82456939961441),11,,BENEVOLENT ST,BENEVOLENT ST,Benevolent St,BENEFIT ST,BROWN ST,Front,1,Gleditsia triacanthos,14.3,No,Sidewalk Pit,2,-71.40382407,41.8245694
POINT (-71.39514770198126 41.82985463546063),53,,STIMSON AVE,STIMSON AVE,Stimson Ave,DIMAN PL,ANGELL ST,Front,4,Acer platanoides,9.3,No,Lawn Strip,2,-71.3951477,41.82985464
POINT (-71.39597288722935 41.82766199013655),150,,WATERMAN ST,WATERMAN ST,Waterman St,COOKE ST,HOPE ST,Front,2,Gleditsia triacanthos,11,No,Sidewalk Pit,1,-71.39597289,41.82766199
POINT (-71.40280225725112 41.827033006996736),79,Y,WATERMAN ST,WATERMAN ST,Waterman St,PROSPECT ST,THAYER ST,Front,1,Zelkova serrata,6,No,Sidewalk Pit,2,-71.40280226,41.82703301
POINT (-71.40460772781576 41.83060652541009),153,,BOWEN ST,BOWEN ST,Bowen St,PROSPECT ST,BROWN ST,Front,2,Pyrus calleryana,8.7,Yes,Lawn Strip,2,-71.40460773,41.83060653
POINT (-71.40121911314351 41.828552915313914),60,,OLIVE ST,OLIVE ST,Olive St,THAYER ST,BROWN ST,Front,1,Platanus x acerifolia,5.1,No,Sidewalk Pit,2,-71.40121911,41.82855292
POINT (-71.40262931084959 41.82451028020766),22,Y,BROWN ST,BROWN ST,Brown St,CHARLESFIELD ST,GEORGE ST,Front,1,Platanus x acerifolia,19.8,No,Sidewalk Pit,2,-71.40262931,41.82451028
POINT (-71.39997362403273 41.830158975638966),456,,BROOK ST,CUSHING ST,Cushing St,BROOK ST,THAYER ST,Side,2,Tilia cordata,6.7,No,Lawn Strip,2,-71.39997362,41.83015898
POINT (-71.39887061952686 41.824797033657255),291,,BROOK ST,BROOK ST,Brook St,BENEVOLENT ST,YOUNG ORCHARD AVE,Front,1,Tilia cordata,12,Yes,Sidewalk Pit,1,-71.39887062,41.82479703
POINT (-71.40138517904676 41.82808635797787),154,,ANGELL ST,ANGELL ST,Angell St,THAYER ST,BROWN ST,Front,3,Platanus x acerifolia,6.3,No,Sidewalk Pit,2,-71.40138518,41.82808636
POINT (-71.40044883744899 41.83081586304139),247,,BOWEN ST,BOWEN ST,Bowen St,THAYER ST,BROOK ST,Front,3,Fraxinus pennsylvanica,6.3,Yes,Lawn Strip,2,-71.40044884,41.83081586
POINT (-71.40699175388535 41.82641922122916),235,,BENEFIT ST,BENEFIT ST,Benefit St,COLLEGE ST,WATERMAN ST,Front,1,Platanus x acerifolia,11,No,Sidewalk Pit,2,-71.40699175,41.82641922
POINT (-71.40274237333186 41.82397875498078),15,,CHARLESFIELD ST,BROWN ST,Brown St,BENEVOLENT ST,CHARLESFIELD ST,Side,7,Ulmus americana,16.5,No,Sidewalk Pit,2,-71.40274237,41.82397875
POINT (-71.39915521496015 41.82587041481436),324,,BROOK ST,BROOK ST,Brook St,WATERMAN ST,GEORGE ST,Front,3,Quercus rubra,18,No,Sidewalk Pit,1,-71.39915521,41.82587041
POINT (-71.39950159434262 41.82802537418784),386,,BROOK ST,BROOK ST,Brook St,ANGELL ST,FONES ALY,Front,1,Malus 'Prairiefire',14,No,Lawn Strip,1,-71.39950159,41.82802537
POINT (-71.40052481190044 41.82649096493956),190,,THAYER ST,THAYER ST,Thayer St,WATERMAN ST,GEORGE ST,Front,6,Platanus x acerifolia,3,No,Sidewalk Pit,2,-71.40052481,41.82649096
POINT (-71.40173677948461 41.82905257118157),185,,MEETING ST,MEETING ST,Meeting St,BROWN ST,THAYER ST,Front,9,Quercus palustris,2.2,No,Sidewalk Pit,2,-71.40173678,41.82905257
POINT (-71.3999426335097 41.83127632484803),181,,LLOYD AVE,BROOK ST,Brook St,LLOYD AVE,BOWEN ST,Side,3,Platanus x acerifolia,4.6,Yes,Sidewalk Pit,2,-71.39994263,41.83127632
POINT (-71.40586656720123 41.82471031173311),282,,BENEFIT ST,BENEFIT ST,Benefit St,HOPKINS ST,PLANET ST,Front,1,Platanus x acerifolia,12,No,Sidewalk Pit,2,-71.40586657,41.82471031
POINT (-71.40511021082655 41.826140301743315),20,,PROSPECT ST,COLLEGE ST,College St,PROSPECT ST,BENEFIT ST,Side,4,Ulmus spp.,4,No,Sidewalk Pit,2,-71.40511021,41.8261403
POINT (-71.39960490549439 41.82401474560005),111,,THAYER ST,CHARLESFIELD ST,Charlesfield St,BROOK ST,THAYER ST,Side,1,Tilia cordata,9.2,No,Sidewalk Pit,1,-71.39960491,41.82401475
POINT (-71.4041397151286 41.82512606839965),45,,GEORGE ST,MAGEE ST,Magee St,GEORGE ST,BENEVOLENT ST,Side,1,Gleditsia triacanthos,14,No,Sidewalk Pit,2,-71.40413972,41.82512607
POINT (-71.40117997655963 41.823874730708575),39,,CHARLESFIELD ST,CHARLESFIELD ST,Charlesfield St,THAYER ST,BROWN ST,Front,1,Platanus x acerifolia,34.3,No,Sidewalk Pit,2,-71.40117998,41.82387473
POINT (-71.40322942880124 41.828958136521805),171,,MEETING ST,MEETING ST,Meeting St,BROWN ST,THAYER ST,Front,1,Gleditsia triacanthos,11.3,No,Sidewalk Pit,2,-71.40322943,41.82895814
POINT (-71.39910063222847 41.83186381298302),250,,LLOYD AVE,LLOYD AVE,Lloyd Ave,WEYMOUTH ST,HOPE ST,Front,6,Ulmus americana,3.9,No,Lawn Strip,2,-71.39910063,41.83186381
POINT (-71.39375493513593 41.832918889659595),93,,ARLINGTON AVE,UNIVERSITY AVE,University Ave,ARLINGTON AVE,TABER AVE,Side,1,Prunus serrulata 'Kwanzan',11,Yes,Lawn Strip,2,-71.39375494,41.83291889
POINT (-71.39621744546986 41.8233392196797),158,,POWER ST,POWER ST,Power St,HOPE ST,COOKE ST,Front,2,Tilia cordata,12,No,Lawn Strip,1,-71.39621745,41.82333922
POINT (-71.40747723373912 41.82710027386664),210,,BENEFIT ST,BENEFIT ST,Benefit St,WATERMAN ST,COLLEGE ST,Front,1,Aesculus hippocastanum,3.2,No,Sidewalk Pit,2,-71.40747723,41.82710027
POINT (-71.39744532008636 41.82806205576113),198,,HOPE ST,HOPE ST,Hope St,FONES ALY,ANGELL ST,Front,2,Gleditsia triacanthos,11,No,Sidewalk Pit,1,-71.39744532,41.82806206
POINT (-71.404796856335 41.82521651124255),37,,GEORGE ST,GEORGE ST,George St,BENEFIT ST,MAGEE ST,Front,2,Pyrus calleryana,3.7,No,Sidewalk Pit,2,-71.40479686,41.82521651
POINT (-71.39583568859405 41.82980467067331),33,,STIMSON AVE,STIMSON AVE,Stimson Ave,DIMAN PL,ANGELL ST,Front,1,Platanus x acerifolia,13.4,No,Sidewalk Pit,2,-71.39583569,41.82980467
POINT (-71.40048457876564 41.82618816183308),180,,THAYER ST,THAYER ST,Thayer St,WATERMAN ST,GEORGE ST,Front,1,Platanus x acerifolia,12,No,Sidewalk Pit,2,-71.40048458,41.82618816
POINT (-71.40681172269522 41.82844766077615),24,,CONGDON ST,CONGDON ST,Congdon St,ANGELL ST,JENCKES ST,Front,1,Tilia cordata,14,No,Sidewalk Pit,2,-71.40681172,41.82844766
POINT (-71.40646226219103 41.82673749866731),41,Y,WATERMAN ST,WATERMAN ST,Waterman St,BENEFIT ST,PROSPECT ST,Front,1,Gleditsia triacanthos,22,No,Sidewalk Pit,2,-71.40646226,41.8267375
POINT (-71.40660017793545 41.827561366359134),30,,WATERMAN ST,ANGELL ST,Angell St,BENEFIT ST,PROSPECT ST,Rear,7,Ulmus parvifolia,6,No,Sidewalk Pit,2,-71.40660018,41.82756137
POINT (-71.40096675443793 41.830210883247965),300,,THAYER ST,THAYER ST,Thayer St,BOWEN ST,CUSHING ST,Front,1,Prunus spp.,3.6,No,Sidewalk Pit,2,-71.40096675,41.83021088
POINT (-71.39760653468511 41.82795464023975),130,,WATERMAN ST,FONES ALY,Fones Aly,HOPE ST,BROOK ST,Rear,2,Pinus strobus,12,No,Lawn - No Sidewalk,1,-71.39760653,41.82795464
POINT (-71.39742554942944 41.82580986392171),170,,HOPE ST,GEORGE ST,George St,HOPE ST,BROOK ST,Side,1,Acer saccharinum,1,No,Sidewalk Pit,1,-71.39742555,41.82580986
POINT (-71.40684289128512 41.82613040873422),42,,COLLEGE ST,BENEFIT ST,Benefit St,COLLEGE ST,WATERMAN ST,Side,1,Tilia cordata,28.2,No,Sidewalk Pit,2,-71.40684289,41.82613041
POINT (-71.39638978725624 41.8233207346587),150,,POWER ST,POWER ST,Power St,HOPE ST,COOKE ST,Front,1,Malus spp,4,No,Lawn Strip,1,-71.39638979,41.82332073
POINT (-71.40340969030905 41.827816195286914),107,,ANGELL ST,ANGELL ST,Angell St,PROSPECT ST,BROWN ST,Front,3,Gleditsia triacanthos,5,No,Sidewalk Pit,2,-71.40340969,41.8278162
POINT (-71.39913744593132 41.82675029953385),348,TRUE,BROOK ST,BROOK ST,Brook St,WATERMAN ST,BROOK ST,Rear,4,Ginkgo biloba,7,No,Sidewalk Pit,1,-71.39913745,41.8267503
POINT (-71.39718952365668 41.82643645072932),177,,HOPE ST,HOPE ST,Hope St,GEORGE ST,MANNING ST,Front,1,Tilia cordata,34,No,Lawn Strip,1,-71.39718952,41.82643645
POINT (-71.39644754899999 41.826664635350795),53,,MANNING ST,MANNING ST,Manning St,COOKE ST,HOPE ST,Front,1,Tilia cordata,33,No,Sidewalk Pit,1,-71.39644755,41.82666464
POINT (-71.39797077873867 41.82842230822642),216,,HOPE ST,ANGELL ST,Angell St,HOPE ST,BROOK ST,Side,2,Ulmus 'Patriot',6.3,No,Lawn Strip,2,-71.39797078,41.82842231
POINT (-71.39631503248783 41.826748773218135),60,,MANNING ST,MANNING ST,Manning St,COOKE ST,HOPE ST,Front,3,Zelkova serrata,10,No,Lawn Strip,1,-71.39631503,41.82674877
POINT (-71.40489161079114 41.826147297216835),20,,PROSPECT ST,COLLEGE ST,College St,PROSPECT ST,BENEFIT ST,Side,2,Ulmus spp.,3,No,Sidewalk Pit,2,-71.40489161,41.8261473
POINT (-71.39689630097595 41.824238349133296),2,Y,YOUNG ORCHARD AVE,YOUNG ORCHARD AVE,Young Orchard Ave,COOKE ST,HOPE ST,Front,2,Acer rubrum,8,No,Sidewalk Pit,1,-71.3968963,41.82423835
POINT (-71.40089165253697 41.8305676286482),315,,THAYER ST,THAYER ST,Thayer St,CUSHING ST,BOWEN ST,Front,1,Pyrus calleryana,5.3,No,Sidewalk Pit,2,-71.40089165,41.83056763
POINT (-71.40206196756314 41.82709996269986),85,,WATERMAN ST,WATERMAN ST,Waterman St,PROSPECT ST,THAYER ST,Front,1,Platanus x acerifolia,4,No,Sidewalk Pit,2,-71.40206197,41.82709996
POINT (-71.40124519288939 41.825511827877946),122,,GEORGE ST,GEORGE ST,George St,THAYER ST,PROSPECT ST,Front,3,Platanus x acerifolia,25,No,Sidewalk Pit,2,-71.40124519,41.82551183
POINT (-71.40459040140937 41.82649994744547),21,Y,PROSPECT ST,PROSPECT ST,Prospect St,COLLEGE ST,WATERMAN ST,Front,3,Acer platanoides,22,No,Sidewalk Pit,2,-71.4045904,41.82649995
POINT (-71.3968140401824 41.82666750800987),47,,MANNING ST,MANNING ST,Manning St,COOKE ST,HOPE ST,Front,3,Acer saccharum,6,No,Sidewalk Pit,1,-71.39681404,41.82666751
POINT (-71.39718215751904 41.82966077187465),16,,STIMSON AVE,STIMSON AVE,Stimson Ave,DIMAN PL,HOPE ST,Front,2,Ulmus americana,6.6,No,Lawn Strip,2,-71.39718216,41.82966077
POINT (-71.40449745772081 41.8269870336952),64,,WATERMAN ST,WATERMAN ST,Waterman St,BROWN ST,PROSPECT ST,Front,1,Gleditsia triacanthos,15,No,Sidewalk Pit,2,-71.40449746,41.82698703
POINT (-71.40571639006396 41.827631819164814),55,,ANGELL ST,ANGELL ST,Angell St,BENEFIT ST,PROSPECT ST,Front,2,Gleditsia triacanthos,3,No,Sidewalk Pit,2,-71.40571639,41.82763182
POINT (-71.40480524120576 41.82717391001807),62,,WATERMAN ST,PROSPECT ST,Prospect St,ANGELL ST,WATERMAN ST,Side,2,Gleditsia triacanthos,12,No,Sidewalk Pit,2,-71.40480524,41.82717391
POINT (-71.40163595162646 41.82539464457231),127,Y,GEORGE ST,GEORGE ST,George St,BROWN ST,THAYER ST,Front,5,Ulmus americana,2.1,No,Sidewalk Pit,2,-71.40163595,41.82539464
POINT (-71.40057135966526 41.829146006397224),269,,THAYER ST,MEETING ST,Meeting St,THAYER ST,BROOK ST,Side,2,Fraxinus pennsylvanica,7,No,Sidewalk Pit,2,-71.40057136,41.82914601
POINT (-71.40519647269103 41.8305725497587),91,,PROSPECT ST,BOWEN ST,Bowen St,PROSPECT ST,BROWN ST,Side,3,Pyrus calleryana,14.8,Yes,Lawn Strip,2,-71.40519647,41.83057255
POINT (-71.39942605641761 41.82847396932904),216,,HOPE ST,BROOK ST,Brook St,ANGELL ST,MEETING ST,Rear,2,Fraxinus pennsylvanica,18,No,Sidewalk Pit,2,-71.39942606,41.82847397
POINT (-71.40103806403305 41.82910453517064),268,,THAYER ST,MEETING ST,Meeting St,BROWN ST,THAYER ST,Side,3,Quercus rubra,2.9,No,Sidewalk Pit,2,-71.40103806,41.82910454
POINT (-71.40149269846356 41.828436994594846),71,,OLIVE ST,OLIVE ST,Olive St,BROWN ST,THAYER ST,Front,2,Platanus x acerifolia,4.3,No,Sidewalk Pit,2,-71.4014927,41.82843699
POINT (-71.39740854587971 41.82572757011445),195,,GEORGE ST,GEORGE ST,George St,HOPE ST,BROOK ST,Front,3,Tilia americana,3,No,Sidewalk Pit,1,-71.39740855,41.82572757
POINT (-71.40263978603991 41.82519208960832),125,Y,GEORGE ST,BROWN ST,Brown St,CHARLESFIELD ST,GEORGE ST,Side,5,Tilia americana,2,No,Sidewalk Pit,2,-71.40263979,41.82519209
POINT (-71.40484467213216 41.827451939508045),71,,ANGELL ST,PROSPECT ST,Prospect St,ANGELL ST,WATERMAN ST,Side,1,Gleditsia triacanthos,16,No,Sidewalk Pit,2,-71.40484467,41.82745194
POINT (-71.39957799094351 41.82305391245263),104,Y,POWER ST,POWER ST,Power St,HOPE ST,THAYER ST,Front,2,Tilia cordata,10,No,Sidewalk Pit,1,-71.39957799,41.82305391
POINT (-71.39933659939112 41.83011001038146),171,Y,CUSHING ST,CUSHING ST,Cushing St,BROOK ST,HOPE ST,Front,2,Acer rubrum,7.4,Yes,Sidewalk Pit,2,-71.3993366,41.83011001
POINT (-71.4072023072916 41.826562127968714),226,,BENEFIT ST,BENEFIT ST,Benefit St,WATERMAN ST,COLLEGE ST,Front,3,Platanus x acerifolia,22,No,Sidewalk Pit,2,-71.40720231,41.82656213
POINT (-71.39969694154777 41.82945993731037),450,,BROOK ST,BROOK ST,Brook St,BOWEN ST,CUSHING ST,Front,9,Platanus x acerifolia,6.3,Yes,Lawn Strip,2,-71.39969694,41.82945994
POINT (-71.39572232317201 41.82433135683026),7,,YOUNG ORCHARD AVE,YOUNG ORCHARD AVE,Young Orchard Ave,COOKE ST,HOPE ST,Front,3,Tilia cordata,1,No,Sidewalk Pit,1,-71.39572232,41.82433136
POINT (-71.40321712780278 41.82853505239539),87,Y,BROWN ST,BROWN ST,Brown St,OLIVE ST,MEETING ST,Front,2,Celtis occidentalis,3.8,No,Sidewalk Pit,2,-71.40321713,41.82853505
POINT (-71.40401129272881 41.82900460438879),150,,MEETING ST,MEETING ST,Meeting St,BROWN ST,PROSPECT ST,Front,2,Acer saccharum,23.6,No,Lawn Strip,2,-71.40401129,41.8290046
POINT (-71.39259808216224 41.83039627058901),20,Y,ARLINGTON AVE,ARLINGTON AVE,Arlington Ave,HUMBOLDT AVE,VILLA AVE,Front,6,Acer rubrum,6,No,Lawn - No Sidewalk,2,-71.39259808,41.83039627
POINT (-71.4018843009791 41.82903958017864),185,,MEETING ST,MEETING ST,Meeting St,BROWN ST,THAYER ST,Front,7,Platanus x acerifolia,3.8,No,Sidewalk Pit,2,-71.4018843,41.82903958
POINT (-71.40272787032622 41.82712594181654),78,,WATERMAN ST,WATERMAN ST,Waterman St,THAYER ST,BROWN ST,Front,1,Ulmus americana,7,No,Sidewalk Pit,2,-71.40272787,41.82712594
POINT (-71.39366971536693 41.83301129685367),4,,UNIVERSITY AVE,UNIVERSITY AVE,University Ave,TABER AVE,ARLINGTON AVE,Front,1,Ulmus spp.,10,No,Sidewalk Pit,2,-71.39366972,41.8330113
POINT (-71.39966611412457 41.82879025233871),257,,THAYER ST,EUCLID AVE,Euclid Ave,BROOK ST,THAYER ST,Side,1,Zelkova serrata,3.1,No,Sidewalk Pit,2,-71.39966611,41.82879025
POINT (-71.39982032316105 41.83030134362403),456,,BROOK ST,BROOK ST,Brook St,BOWEN ST,CUSHING ST,Front,1,Tilia americana,4.2,Yes,Lawn Strip,2,-71.39982032,41.83030134
POINT (-71.4000702260768 41.82561798278241),156,,GEORGE ST,GEORGE ST,George St,BROOK ST,THAYER ST,Front,9,Zelkova serrata,12.4,No,Sidewalk Pit,1,-71.40007023,41.82561798
POINT (-71.40238864629616 41.82543084730007),94,Y,GEORGE ST,GEORGE ST,George St,THAYER ST,PROSPECT ST,Front,2,Tilia spp.,2.5,No,Sidewalk Pit,2,-71.40238865,41.82543085
POINT (-71.39937950747695 41.823067904071536),104,Y,POWER ST,POWER ST,Power St,HOPE ST,THAYER ST,Front,1,Tilia cordata,12,No,Sidewalk Pit,1,-71.39937951,41.8230679
POINT (-71.40803887216579 41.82811249244616),184,,BENEFIT ST,BENEFIT ST,Benefit St,COURT ST,MEETING ST,Front,1,Platanus x acerifolia,23,No,Sidewalk Pit,12,-71.40803887,41.82811249
POINT (-71.39832413718565 41.82411707731816),75,,CHARLESFIELD ST,CHARLESFIELD ST,Charlesfield St,HOPE ST,CHARLESFIELD ST,Front,3,Tilia cordata,11.2,No,Lawn Strip,1,-71.39832414,41.82411708
