Year,Date,Home/Away,Opponent,Result,Score,Location
1922,10/21/1922,at,Lehigh,W,6-2,"Bethlehem, Pa."
1922,10/28/1922,vs,Boston University,W,16-6,"Providence, R.I."
1922,11/04/1922,at,Yale,L,0-20,"New Haven, Conn."
1922,11/11/1922,vs,Bates,W,27-12,"Providence, R.I."
1922,11/18/1922,at,Harvard,W,3-0,"Boston, Mass."
1922,11/25/1922,vs,Dartmouth,L,0-7,"Boston, Mass. (Fenway Park)"
1923,09/29/1923,vs,Haverford,W,27-0,"Providence, R.I."
1923,10/06/1923,vs,Colby,W,33-0,"Providence, R.I."
1923,10/13/1923,at,Washington and Jefferson,L,7-12,"Washington, Pa."
1923,10/20/1923,vs,Boston University,W,20-3,"Providence, R.I."
1923,10/27/1923,at,Yale,L,0-21,"New Haven, Conn."
1923,11/03/1923,vs,St. Bonaventure,W,19-0,"Providence, R.I."
1923,11/10/1923,vs,Dartmouth,L,14-16,"Boston, Mass. (Fenway Park)"
1923,11/17/1923,at,Harvard,W,20-7,"Boston, Mass."
1923,11/24/1923,vs,New Hampshire,W,6-0,"Providence, R.I."
1923,11/29/1923,vs,Lehigh,L,6-12,"Providence, R.I."
1924,10/04/1924,vs,Colby,W,45-0,"Providence, R.I."
1924,10/11/1924,at,Chicago,L,7-19,"Chicago, Ill."
1924,10/24/1924,vs,Boston University,W,35-0,"Providence, R.I."
1924,10/25/1924,at,Yale,L,3-13,"New Haven, Conn."
1924,11/01/1924,at,Dartmouth,L,3-10,"Hanover, N.H."
1924,11/08/1924,vs,Haskell,L,13-17,"Providence, R.I."
1924,11/15/1924,at,Harvard,W,7-0,"Boston, Mass."
1924,11/22/1924,vs,New Hampshire,W,21-0,"Providence, R.I."
1924,11/27/1924,vs,Colgate,W,20-6,"Providence, R.I."
1925,09/26/1925,vs,Rhode Island State,W,33-0,"Providence, R.I."
1925,10/03/1925,vs,Colby,W,33-0,"Providence, R.I."
1925,10/10/1925,vs,Penn,L,0-9,"Providence, R.I."
1925,10/17/1925,vs,Bates,W,48-0,"Providence, R.I."
1925,10/24/1925,vs,Yale,L,7-20,"Providence, R.I."
1925,10/31/1925,vs,Dartmouth,L,0-14,"Providence, R.I."
1925,11/07/1925,vs,Boston University,W,42-6,"Providence, R.I."
1925,11/14/1925,vs,Harvard,L,0-3,"Providence, R.I."
1925,11/21/1925,vs,New Hampshire,W,38-14,"Providence, R.I."
1925,11/26/1925,vs,Colgate,T,14-14,"Providence, R.I."
1926,09/25/1926,vs,Rhode Island State,W,14-0,"Providence, R.I."
1926,10/02/1926,vs,Colby,W,35-0,"Providence, R.I."
1926,10/09/1926,vs,Lehigh,W,32-0,"Providence, R.I."
1926,10/16/1926,vs,Bates,W,27-14,"Providence, R.I."
1926,10/23/1926,at,Yale,W,7-0,"New Haven, Conn."
1926,10/30/1926,at,Dartmouth,W,10-0,"Hanover, N.H."
1926,11/06/1926,vs,Norwich,W,27-0,"Providence, R.I."
1926,11/13/1926,at,Harvard,W,21-0,"Boston, Mass."
1926,11/20/1926,vs,New Hampshire,W,40-12,"Providence, R.I."
1926,11/25/1926,vs,Colgate,T,10-10,"Providence, R.I."
1927,09/24/1927,vs,Rhode Island State,W,27-0,"Providence, R.I."
1927,10/01/1927,vs,Albright,W,20-0,"Providence, R.I."
1927,10/08/1927,at,Penn,L,6-14,"Philadelphia, Pa."
1927,10/15/1927,at,Yale,L,0-19,"New Haven, Conn."
1927,10/22/1927,vs,Lebanon Valley,L,12-13,"Providence, R.I."
1927,10/29/1927,vs,Temple,L,0-7,"Providence, R.I."
1927,11/05/1927,vs,Dartmouth,L,7-19,"Providence, R.I."
1927,11/12/1927,at,Harvard,L,6-18,"Boston, Mass."
1927,11/19/1927,vs,New Hampshire,W,31-13,"Providence, R.I."
1927,11/24/1927,vs,Colgate,T,0-0,"Providence, R.I."
1928,10/06/1928,vs,WPI,W,32-0,"Providence, R.I."
1928,10/13/1928,vs,Dayton,W,13-7,"Providence, R.I."
1928,10/20/1928,at,Yale,L,14-32,"New Haven, Conn."
1928,10/27/1928,vs,Tufts,W,19-13,"Providence, R.I."
1928,11/03/1928,vs,Holy Cross,W,6-0,"Providence, R.I."
