Genre,Decade,Popularity,Location,Band,Year,Artist
Jazz & R&B,20s,0,Other,FALSE,2022,Amaarae
Jazz & R&B,20s,0+,US,FALSE,2022,Ari Lennox
Rap & Reggae/Ska,20s,0+,US,FALSE,2022,Flo Milli
Pop,20s,0,Other,FALSE,2022,Maye
Rap & Reggae/Ska,20s,0,US,FALSE,2022,Smino
Jazz & R&B,20s,50+,Other,FALSE,2022,Tems
Rap & Reggae/Ska,20s,0+,US,FALSE,2023,070 Shake
Pop,20s,0,Other,FALSE,2023,Alice Longyu Gao
Rap & Reggae/Ska,20s,50+,US,FALSE,2023,Doechii
Alternative & Folk,20s,0,US,FALSE,2023,Ethel Cain
Rap & Reggae/Ska,20s,50+,US,FALSE,2023,JID
Pop,20s,0,US,FALSE,2023,Remi Wolf
Pop,20s,0,Other,FALSE,2024,Elyanna
Jazz & R&B,20s,0,US,FALSE,2024,Jordan Ward
Alternative & Folk,20s,0,US,FALSE,2024,Weston Estate
Alternative & Folk,20s,0,US,TRUE,2024,Yves Tumor
Rap & Reggae/Ska,20s,0,US,FALSE,2025,JT
Rap & Reggae/Ska,20s,200+,US,FALSE,2025,Offset
Jazz & R&B,20s,0,US,FALSE,2025,Ravyn Lenae
Rap & Reggae/Ska,20s,0,US,FALSE,2025,Zack Fox
